Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2019-01-04,35.209598541259766,95.37047576904297,53.49927520751953,78.76950073242188,136.99305725097656,3.37642240524292,21.179332733154297
2019-01-07,35.13125228881836,95.49210357666016,53.392581939697266,81.47550201416016,137.09237670898438,3.55517315864563,22.33066749572754
2019-01-08,35.80095672607422,96.18448638916016,53.861541748046875,82.8290023803711,141.5413055419922,3.466665744781494,22.356666564941406
2019-01-09,36.40891647338867,97.55989074707031,53.67692947387695,82.97100067138672,143.2294921875,3.534843683242798,22.568666458129883
2019-01-10,36.52528762817383,96.93299102783203,53.53699493408203,82.81099700927734,143.19972229003906,3.6005425453186035,22.99799919128418
2019-01-11,36.16667556762695,96.18448638916016,52.824371337890625,82.02799987792969,142.80250549316406,3.689793348312378,23.150667190551758
2019-01-14,35.62284469604492,95.48274993896484,52.181236267089844,80.8604965209961,144.3814239501953,3.729708671569824,22.293333053588867
2019-01-15,36.3519287109375,98.25228881835938,53.91810989379883,83.72799682617188,147.916748046875,3.7155776023864746,22.961999893188477
2019-01-16,36.79601287841797,98.59846496582031,54.066986083984375,84.18900299072266,146.51654052734375,3.6900410652160645,23.06999969482422
2019-01-17,37.0145149230957,99.29084014892578,54.54388427734375,84.66100311279297,147.27127075195312,3.7614424228668213,23.15399932861328
2019-01-18,37.242496490478516,100.77853393554688,54.9498176574707,84.80999755859375,148.99917602539062,3.890608549118042,20.150667190551758
2019-01-22,36.40654373168945,98.879150390625,53.527061462402344,81.6084976196289,146.5463409423828,3.6883060932159424,19.92799949645996
2019-01-23,36.55378723144531,99.8428955078125,53.813899993896484,82.0009994506836,143.29901123046875,3.701198101043701,19.172666549682617
2019-01-24,36.26404571533203,99.36568450927734,53.79355239868164,82.74649810791016,144.8184051513672,3.9131696224212646,19.43400001525879
2019-01-25,37.465728759765625,100.27326965332031,54.66248321533203,83.52850341796875,147.976318359375,3.9704384803771973,19.80266761779785
2019-01-28,37.11899185180664,98.31775665283203,53.588104248046875,81.89450073242188,146.44700622558594,3.4215431213378906,19.7586669921875
2019-01-29,36.734275817871094,96.31547546386719,53.101776123046875,79.69400024414062,143.18975830078125,3.262626886367798,19.83066749572754
2019-01-30,39.2444953918457,99.53410339355469,54.48780822753906,83.52149963378906,149.37655639648438,3.40617299079895,20.584667205810547
2019-01-31,39.527103424072266,97.70958709716797,55.872344970703125,85.9365005493164,165.53372192382812,3.563850164413452,20.468000411987305
